fuente,archivo_origen,id_registro_original,clave_habilitacion,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_panaderia,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones
F01,f01_oferta_establecimientos_gastronomicos.csv,2823,,ACCADEMIA della pizza,RESTAURANTE / TRADICIONAL,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,TRIUNVIRATO AV. 4495,12,Villa Urquiza,-34.57558625,-58.48398043,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2738,,A SOLAS,CONFITERIA / MINUTAS,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,"GALLO, DELFIN 5748",8,Villa Lugano,-34.67723595,-58.47608274,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2741,,BAHIA,CONFITERIA / MINUTAS,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,"GALLO, DELFIN 5792",8,Villa Lugano,-34.67747142,-58.4763527,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,691,,BAR ASTURIAS,CONFITERIA / MINUTAS,CLASICO PORTEÑO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,PASTEUR 555,3,Balvanera,-34.60268606,-58.39960554,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1665,,BONJOUR - PIZZA,RESTAURANTE / ITALIANA,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,GUEMES 3299,2,Recoleta,-34.59041587,-58.41098666,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2161,,CAFE DE LAS GALERIAS,CONFITERIA / MINUTAS,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,FLORIDA 725,1,San Nicolas,-34.59959081,-58.37535564,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2163,,CAFE DE MI PAIS,CONFITERIA / INTERNACIONAL,,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,TUCUMAN 299,1,San Nicolas,-34.60069955,-58.37115341,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2559,,CASA DE LAS PIZZAS,RESTAURANTE / INTERNACIONAL,CLASICO PORTEÑO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,"CALVO, CARLOS 637",1,San Telmo,-34.61964787,-58.37491489,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2742,,CHARLY PIZZA BAR,RESTAURANTE / PIZZERIA,CLASICO PORTEÑO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,CAFAYATE 4187,8,Villa Lugano,-34.67838929,-58.47700724,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1371,,CONFITERIA ATECA,RESTAURANTE / MINUTAS,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,LIMA 603,1,Monserrat,-34.61541002,-58.38166591,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2196,,CONFITERIA IDEAL,RESTAURANTE / MINUTAS,ANTIGUO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,SUIPACHA 384,1,San Nicolas,-34.60392465,-58.3794828,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,735,,CONFITERIA LA FAMILIA,RESTAURANTE / MINUTAS,CLASICO PORTEÑO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,PASTEUR 176,3,Balvanera,-34.60759935,-58.39929448,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2194,,CONFITERIA LE CARAVELLE,RESTAURANTE / SANDWICHERIA,CLASICO PORTEÑO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,LAVALLE 726,1,San Nicolas,-34.60237399,-58.37715524,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1143,,CONFITERIA NINI,RESTAURANTE / SANDWICHERIA,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,VARELA AV. 1170,7,Flores,-34.64191358,-58.45587119,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,106,,CONFITERIA PALERMO,RESTAURANTE / INTERNACIONAL,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,SANTA FE AV. 4599,14,Palermo,-34.57856877,-58.42499314,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1102,,CONFITERIA SAN JOSE,CONFITERIA,,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,"CALVO, CARLOS 1400",1,Constitucion,-34.61990436,-58.38571771,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2661,,CONFITERIA SIGLO XXI,RESTAURANTE / MINUTAS,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,CORRIENTES AV. 5500,15,Villa Crespo,-34.59740096,-58.44159363,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1323,,COSTA AZUL,CONFITERIA / SANDWICHERIA,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,ALVAREZ JONTE AV. 5124,10,Monte Castro,-34.62220162,-58.50923031,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1324,,DELFOR,CONFITERIA / MINUTAS,CLASICO PORTEÑO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,ALVAREZ JONTE AV. 5290,10,Monte Castro,-34.62411937,-58.51140812,f01_fuente,,
