id_ubicacion,direccion,calle,altura,cuadra,barrio,habilitaciones,firma,pct_sin_fecha,partidas_matriz,direcciones_con_esa_partida,razones_sociales,anios_fuente
U87081,ESTADO DE ISRAEL AV. 4751,ESTADO DE ISRAEL AV.,4751,4700,Villa Crespo,49,"49|Bar:7,Cafe:14,Heladeria:21,Pasteleria:7",100.0,1.0,1.0,1.0,2025
U76644,"GOYENA, PEDRO AV. 1064","GOYENA, PEDRO AV.",1064,1000,Caballito,32,"32|Cafe:16,Restaurante:16",100.0,1.0,1.0,1.0,2025
U7AE5D,AZCUENAGA 1064,AZCUENAGA,1064,1000,Recoleta,48,"48|Bar:12,Cafe:12,Catering:12,Restaurante:12",100.0,1.0,1.0,1.0,2025
U234BF,FLORIDA 725,FLORIDA,725,700,San Nicolas,96,"96|Bar:16,Cafe:16,Catering:16,Comida al paso:16,Heladeria:16,Pasteleria:16",100.0,2.0,44.0,24.0,2025
UE27C4,COSTA RICA 5468,COSTA RICA,5468,5400,Palermo,35,"35|Bar:5,Cafe:5,Catering:5,Comida al paso:5,Heladeria:5,Pasteleria:5,Restaurante:5",100.0,1.0,1.0,1.0,2025
U2DC62,NOGOYA 3206,NOGOYA,3206,3200,Villa Del Parque,100,"100|Cafe:30,Catering:30,Comida al paso:10,Heladeria:30",100.0,1.0,3.0,1.0,2025
UF1709,NOGOYA 3202,NOGOYA,3202,3200,Villa Del Parque,100,"100|Cafe:30,Catering:30,Comida al paso:10,Heladeria:30",100.0,1.0,3.0,1.0,2025
U1758E,CUENCA 2796,CUENCA,2796,2700,Villa Del Parque,100,"100|Cafe:30,Catering:30,Comida al paso:10,Heladeria:30",100.0,1.0,3.0,1.0,2025
U41F05,DEFENSA 1444,DEFENSA,1444,1400,San Telmo,56,"56|Comida al paso:28,Panaderia:28",100.0,1.0,1.0,1.0,2025
UE8CEB,"ACUÑA DE FIGUEROA, FRANCISCO 1291","ACUÑA DE FIGUEROA, FRANCISCO",1291,1200,Palermo,90,"90|Bar:15,Cafe:15,Catering:15,Pasteleria:15,Pizzeria:15,Restaurante:15",100.0,1.0,1.0,1.0,2025
UD0E77,"BEIRO, FRANCISCO AV. 5225","BEIRO, FRANCISCO AV.",5225,5200,Villa Devoto,40,"40|Cafe:20,Restaurante:20",100.0,1.0,1.0,1.0,2025
U2E0EA,GODOY CRUZ 1853,GODOY CRUZ,1853,1800,Palermo,70,"70|Bar:14,Cafe:14,Catering:14,Pasteleria:14,Restaurante:14",100.0,1.0,2.0,1.0,2025
UE909D,GODOY CRUZ 1855,GODOY CRUZ,1855,1800,Palermo,70,"70|Bar:14,Cafe:14,Catering:14,Pasteleria:14,Restaurante:14",100.0,1.0,2.0,1.0,2025
U83E55,3 DE FEBRERO 2770,3 DE FEBRERO,2770,2700,Belgrano,96,"96|Bar:24,Cafe:24,Catering:24,Restaurante:24",100.0,1.0,2.0,1.0,2025
UB2ED6,3 DE FEBRERO 2772,3 DE FEBRERO,2772,2700,Belgrano,96,"96|Bar:24,Cafe:24,Catering:24,Restaurante:24",100.0,1.0,2.0,1.0,2025
U572FD,"OCAMPO, VICTORIA 360","OCAMPO, VICTORIA",360,300,Puerto Madero,66,"66|Bar:18,Cafe:18,Catering:12,Comida al paso:18",100.0,1.0,3.0,2.0,2025
U9D867,MANSO JUANA 305,MANSO JUANA,305,300,Puerto Madero,66,"66|Bar:18,Cafe:18,Catering:12,Comida al paso:18",100.0,1.0,3.0,1.0,2025
U6CAB7,FLORIDA 727,FLORIDA,727,700,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,13.0,2025
U4FE74,FLORIDA 729,FLORIDA,729,700,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,13.0,2025
UA8C5D,FLORIDA 735,FLORIDA,735,700,San Nicolas,126,"126|Bar:24,Cafe:23,Catering:23,Comida al paso:16,Heladeria:17,Pasteleria:17,Restaurante:6",95.2,2.0,44.0,13.0,2015-2018/2025
U46970,FLORIDA 753,FLORIDA,753,700,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,12.0,2025
UF1897,FLORIDA 755,FLORIDA,755,700,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,13.0,2025
UFC839,FLORIDA 765,FLORIDA,765,700,San Nicolas,121,"121|Bar:22,Cafe:22,Catering:22,Comida al paso:17,Heladeria:16,Pasteleria:16,Restaurante:6",99.2,2.0,44.0,13.0,2015-2018/2025
U4C3AE,FLORIDA 771,FLORIDA,771,700,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,13.0,2025
UD1650,FLORIDA 777,FLORIDA,777,700,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,13.0,2025
U76D1D,FLORIDA 783,FLORIDA,783,700,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,13.0,2025
UF20C9,FLORIDA 785,FLORIDA,785,700,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,16.0,2025
U1A162,CORDOBA AV. 532,CORDOBA AV.,532,500,Retiro,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,17.0,2025
U6B4C9,CORDOBA AV. 550,CORDOBA AV.,550,500,Retiro,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,14.0,2025
UAEDD2,CORDOBA AV. 552,CORDOBA AV.,552,500,Retiro,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,13.0,2025
UBB318,CORDOBA AV. 570,CORDOBA AV.,570,500,Retiro,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,14.0,2025
U7CBD9,SAN MARTIN 712,SAN MARTIN,712,700,San Nicolas,144,"144|Bar:28,Cafe:28,Catering:28,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:12",100.0,2.0,44.0,18.0,2025
U14EF0,SAN MARTIN 714,SAN MARTIN,714,700,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,13.0,2025
U44BD0,VIAMONTE 501,VIAMONTE,501,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,18.0,2025
U5514F,VIAMONTE 509,VIAMONTE,509,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,12.0,2025
U364CC,VIAMONTE 515,VIAMONTE,515,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,12.0,2025
U35C39,VIAMONTE 521,VIAMONTE,521,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,12.0,2025
UDB800,VIAMONTE 525,VIAMONTE,525,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,12.0,2025
U010EB,VIAMONTE 529,VIAMONTE,529,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,12.0,2025
U9DDB4,VIAMONTE 541,VIAMONTE,541,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,12.0,2025
U46D5A,VIAMONTE 545,VIAMONTE,545,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,12.0,2025
U8EBB7,VIAMONTE 547,VIAMONTE,547,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,18.0,2025
U77E15,VIAMONTE 549,VIAMONTE,549,500,San Nicolas,120,"120|Bar:22,Cafe:22,Catering:22,Comida al paso:16,Heladeria:16,Pasteleria:16,Restaurante:6",100.0,2.0,44.0,14.0,2025
UA1F74,HONDURAS 4308,HONDURAS,4308,4300,Palermo,64,"64|Bar:16,Cafe:16,Catering:16,Restaurante:16",100.0,1.0,3.0,1.0,2025
U4B849,HONDURAS 4318,HONDURAS,4318,4300,Palermo,64,"64|Bar:16,Cafe:16,Catering:16,Restaurante:16",100.0,1.0,3.0,1.0,2025
U3F0B5,LAVALLEJA 1500,LAVALLEJA,1500,1500,Palermo,64,"64|Bar:16,Cafe:16,Catering:16,Restaurante:16",100.0,1.0,3.0,1.0,2025
U17B0F,GURRUCHAGA 1142,GURRUCHAGA,1142,1100,Villa Crespo,24,"24|Comida al paso:12,Heladeria:12",100.0,1.0,2.0,1.0,2025
UF6F32,GURRUCHAGA 1140,GURRUCHAGA,1140,1100,Villa Crespo,24,"24|Comida al paso:12,Heladeria:12",100.0,1.0,2.0,1.0,2025
U599A9,"URIBURU JOSE E., PRES. 1092","URIBURU JOSE E., PRES.",1092,1000,Recoleta,24,"24|Comida al paso:12,Panaderia:12",100.0,,,,2025
U8083F,MAIPU 608,MAIPU,608,600,San Nicolas,80,"80|Comida al paso:40,Panaderia:40",100.0,1.0,1.0,1.0,2025
UBA0E7,DEL LIBERTADOR AV. 3164,DEL LIBERTADOR AV.,3164,3100,Palermo,220,"220|Bar:44,Cafe:44,Catering:44,Comida al paso:44,Heladeria:44",100.0,1.0,1.0,1.0,2025
U16EC8,"DEALESSI, PIERINA 830","DEALESSI, PIERINA",830,800,Puerto Madero,54,"54|Cafe:18,Catering:18,Heladeria:18",100.0,1.0,2.0,1.0,2025
U46DB6,"ALVEAR, MARCELO T. DE 799","ALVEAR, MARCELO T. DE",799,700,Retiro,32,"32|Bar:8,Cafe:8,Catering:8,Restaurante:8",100.0,,,,2025
U8C34E,GUAMINI 4936,GUAMINI,4936,4900,Villa Riachuelo,32,"32|Comida al paso:16,Panaderia:16",100.0,1.0,2.0,1.0,2025
U9CD2D,GUAMINI 4938,GUAMINI,4938,4900,Villa Riachuelo,32,"32|Comida al paso:16,Panaderia:16",100.0,1.0,2.0,1.0,2025
UC17F1,MURGUIONDO 4076,MURGUIONDO,4076,4000,Villa Lugano,24,"24|Comida al paso:12,Panaderia:12",100.0,1.0,2.0,1.0,2025
U484A5,MURGUIONDO 4078,MURGUIONDO,4078,4000,Villa Lugano,24,"24|Comida al paso:12,Panaderia:12",100.0,1.0,2.0,1.0,2025
U21555,BUCARELLI 2181,BUCARELLI,2181,2100,Villa Urquiza,144,"144|Bar:12,Cafe:12,Catering:30,Comida al paso:30,Pizzeria:30,Restaurante:30",100.0,1.0,2.0,1.0,2025
U72837,BUCARELLI 2179,BUCARELLI,2179,2100,Villa Urquiza,144,"144|Bar:12,Cafe:12,Catering:30,Comida al paso:30,Pizzeria:30,Restaurante:30",100.0,1.0,2.0,1.0,2025
UB9619,SOLER 5101,SOLER,5101,5100,Palermo,27,"27|Bar:9,Parrilla:9,Restaurante:9",100.0,1.0,1.0,1.0,2025
UF6462,"CASTRO, EMILIO AV. 7502","CASTRO, EMILIO AV.",7502,7500,Mataderos,25,"25|Bar:5,Cafe:5,Catering:5,Comida al paso:5,Restaurante:5",100.0,1.0,2.0,1.0,2025
U5F868,"SUAREZ, JOSE LEON 1511","SUAREZ, JOSE LEON",1511,1500,Mataderos,25,"25|Bar:5,Cafe:5,Catering:5,Comida al paso:5,Restaurante:5",100.0,1.0,2.0,1.0,2025
U33376,"ALSINA, ADOLFO 1499","ALSINA, ADOLFO",1499,1400,Monserrat,40,"40|Bar:8,Cafe:8,Catering:8,Comida al paso:8,Restaurante:8",100.0,1.0,1.0,1.0,2025
U145A6,LARRAZABAL 3543,LARRAZABAL,3543,3500,Villa Lugano,54,"54|Comida al paso:18,Panaderia:36",100.0,1.0,2.0,1.0,2025
UA4A5F,LARRAZABAL 3541,LARRAZABAL,3541,3500,Villa Lugano,54,"54|Comida al paso:18,Panaderia:36",100.0,1.0,2.0,1.0,2025
UDA980,"GARAY, JUAN DE AV. 168","GARAY, JUAN DE AV.",168,100,San Telmo,48,48|Comida al paso:48,100.0,1.0,1.0,1.0,2025
U37216,OLAVARRIA 699,OLAVARRIA,699,600,La Boca,24,"24|Bar:4,Cafe:4,Comida al paso:4,Pasteleria:4,Pizzeria:4,Restaurante:4",100.0,1.0,2.0,1.0,2025
UC8069,"VALLE IBERLUCEA DEL, DR. 1090","VALLE IBERLUCEA DEL, DR.",1090,1000,La Boca,24,"24|Bar:4,Cafe:4,Comida al paso:4,Pasteleria:4,Pizzeria:4,Restaurante:4",100.0,,,,2025
U51B46,ENTRE RIOS AV. 1098,ENTRE RIOS AV.,1098,1000,Constitucion,36,"36|Comida al paso:12,Panaderia:12,Pizzeria:12",100.0,1.0,2.0,1.0,2025
