lat,lng,id,objeto,tipo,nombre,dias,observacio,direccion,calle,cruce,direc_norm,direc_arcg,barrio,comuna
-34.59175881722033,-58.44790008789606,14,FERIA,MANUALIDADES Y ANTIGÜEDADES,PARQUE LOS ANDES,"SABADO, DOMINGOS Y FERIADOS",NA,CORRIENTES Y DORREGO,CORRIENTES AV.,DORREGO AV.,CORRIENTES AV. Y DORREGO AV.,CORRIENTES AV. & DORREGO AV.,Chacarita,15
-34.58965268262089,-58.45017200365131,23,FERIA,ANTIGÜEDADES,MERCADO DE LAS PULGAS,MARTES A DOMINGO,NA,DORREGO Y CONCEPCION ARENAL,CORRIENTES AV.,"ARENAL, CONCEPCION","CORRIENTES AV. Y ARENAL, CONCEPCION","CORRIENTES AV. & ARENAL, CONCEPCION",Chacarita,15
-34.604590108765215,-58.436079553500335,6,FERIA,MANUALIDADES Y ANTIGÜEDADES,PASEO CENTENARIO,"SABADO, DOMINGOS Y FERIADOS",NA,PATRICIAS ARGENTINA Y MACHADO,PATRICIAS ARGENTINAS AV.,"MACHADO, ANTONIO","PATRICIAS ARGENTINAS AV. Y MACHADO, ANTONIO","PATRICIAS ARGENTINAS AV. & MACHADO, ANTONIO",Caballito,6
-34.62082178967887,-58.44169232444748,19,FERIA,LIBROS USADOS,PLAZOLETA 1º JUNTA,MARTES A DOMINGO,NA,RIVADAVIA Y DEL BARCO CENTENERA,RIVADAVIA AV.,BARCO CENTENERA DEL,RIVADAVIA AV. Y BARCO CENTENERA DEL,RIVADAVIA AV. & BARCO CENTENERA DEL,Caballito,6
-34.608277067729134,-58.436778323590396,26,FERIA,ARTESANIAS,FERIA PARQUE CENTENARIO,"SABADO, DOMINGOS Y FERIADOS",NA,AV. DIAZ VELEZ Y CAMPICHUELO,DIAZ VELEZ AV.,CAMPICHUELO,DIAZ VELEZ AV. Y CAMPICHUELO,DIAZ VELEZ AV. & CAMPICHUELO,Caballito,6
-34.607247143200645,-58.43780353504018,18,FERIA,LIBROS USADOS,PARQUE CENTENARIO,MARTES A DOMINGO,NA,PASAJE LILLO Y LEOPOLDO MARECHAL,LILLO AV.,"MARECHAL, LEOPOLDO","LILLO AV. Y MARECHAL, LEOPOLDO","LILLO AV. & MARECHAL, LEOPOLDO",Caballito,6
-34.618867020741824,-58.434355278665784,22,FERIA,"LIBROS USADOS, ANTIGÜEDADES, FILATELIA Y NUMISMATICA",PARQUE RIVADAVIA,MARTES A DOMINGO,NA,RIVADAVIA Y BEAUCHEF,ROSARIO,BEAUCHEF,ROSARIO Y BEAUCHEF,ROSARIO & BEAUCHEF,Caballito,6
-34.63752094268584,-58.406639897661925,11,FERIA,MANUALIDADES Y ANTIGÜEDADES,PASEO PARQUE PATRICIOS,"SABADO, DOMINGOS Y FERIADOS",NA,A. CASEROS Y ALMAFUERTE,CASEROS AV.,ALMAFUERTE AV.,CASEROS AV. Y ALMAFUERTE AV.,CASEROS AV. & ALMAFUERTE AV.,Parque Patricios,4
-34.63774711026182,-58.40572651908315,20,FERIA,LIBROS USADOS,PARQUE DE LOS PATRICIOS,MARTES A DOMINGO,NA,AV. CASEROS Y MONTEAGUDO,CASEROS AV.,MONTEAGUDO,CASEROS AV. Y MONTEAGUDO,CASEROS AV. & MONTEAGUDO,Parque Patricios,4
-34.6601239582211,-58.50277343080071,3,FERIA,MANUALIDADES Y ANTIGÜEDADES,PASEO ALBERDI,"SABADO, DOMINGOS Y FERIADOS",NA,LISANDRO DE LA TORRE Y DIRECTORIO,"DE LA TORRE, LISANDRO AV.",DIRECTORIO AV.,"DE LA TORRE, LISANDRO AV. Y DIRECTORIO AV.","DE LA TORRE, LISANDRO AV. & DIRECTORIO AV.",Mataderos,9
-34.62057529624307,-58.37156471689407,2,FERIA,MANUALIDADES Y ANTIGÜEDADES,PASEO HUMBERTO 1º,"SABADO, DOMINGOS Y FERIADOS",NA,HUMBERTO 1º Y DEFENSA,HUMBERTO 1º,DEFENSA,HUMBERTO 1º Y DEFENSA,HUMBERTO 1º & DEFENSA,San Telmo,1
